DATA;CLIENTE;ID_OP;ITEM;DESCRICAO_OP;N_PROG;QTD_PROD;QTD_PED;H_INICIO;H_FIM;TOTAL_MIN;NC;COD_PARADA;T_PARADA_MIN;OPERADOR;MAQUINA;AUDIT
16/04/2026;MATAO;31553;1;Avanco e chanfe Giro;125;30;180;07:30;15:30;???;???;;;Cleiton;???;
16/04/2026;MATAO;31949;1;;125;15;15;07:30;13:30;???;???;;;Cleiton;???;
17/04/2026;MATAO;31553;1;;125;???;180;???;???;???;???;;;???;???;
22/04/2026;MATAO;31553;1;;125;29;180;03:30;10:30;???;???;;;???;???;
22/04/2026;MATAO;31554;2;;440;15;???;10:00;15:00;???;???;;;???;???;
23/04/2026;MATAO;31553;2,2;Giro;440;19;???;08:00;12:00;???;???;;;???;???;
23/04/2026;MATAO;31653;1;;949;100;160;08:00;17:00;???;???;;;Cleiton;???;
24/04/2026;MATAO;31553;1;;125;???;180;???;???;???;???;P07;???;???;???;
24/04/2026;MATAO;31553;2;;440;13;???;???;???;???;???;;;???;???;
25/04/2026;MATAO;31553;2,2;Colar bujao e chave;440;100;100;08:00;17:00;???;???;P07;???;Cleiton;???;
25/04/2026;MATAO;31553;2,4;Tornear o chave;???;35;???;???;???;???;???;;;???;???;
28/04/2026;MATAO;31553;1;;125;???;180;???;???;???;???;P07;???;???;???;
29/04/2026;MATAO;31553;1;;125;???;180;???;???;???;???;;;???;???;
29/04/2026;MATAO;31553;2;;440;14;16;???;???;???;???;;;???;???;
30/04/2026;VMIN;31698;1;Tornear de lixo Calco;274;19;54;02:40;07:20;???;???;;;Cleiton;???;
30/04/2026;VMIN;31698;2;;437;69;69;07:20;13:40;???;???;;;Cleiton;???;
01/05/2026;VMIN;31886;1;;274;54;100;08:00;13:00;???;???;;;Cleiton;???;
01/05/2026;VMIN;31886;2;;437;40;40;13:00;17:00;???;???;;;Cleiton;???;
02/05/2026;VMIN;31886;1;;274;63;100;08:00;13:00;???;???;;;Cleiton;???;
02/05/2026;VMIN;31886;2;;437;16;32;13:00;16:00;???;???;;;Cleiton;???;
05/05/2026;VMIN;32360;1;;274;???;???;???;???;???;???;;;Cleiton;???;
05/05/2026;VMIN;32360;2;;437;???;???;???;???;???;???;;;Cleiton;???;
06/05/2026;VMIN;32360;1;;274;???;???;???;???;???;???;;;Cleiton;???;
06/05/2026;VMIN;32360;2;;437;???;???;???;???;???;???;;;Cleiton;???;
07/05/2026;VMIN;32360;1;;274;???;???;???;???;???;???;;;Cleiton;???;
07/05/2026;VMIN;32360;2;;437;???;???;???;???;???;???;;;Cleiton;???;
08/05/2026;MATAO;32360;2;;437;???;???;???;???;???;???;P07;???;???;???;
09/05/2026;MATAO;32360;2;;437;???;???;???;???;???;???;???;???;???;???;
13/05/2026;MATAO;32360;1;;274;34;???;???;???;???;???;;;Cleiton;???;
13/05/2026;MATAO;32360;2;;437;???;???;???;???;???;???;;;Cleiton;???;
